	ID	Predicted Category
0	9561	Business
1	10802	Business
2	6727	Business
3	12366	Football
4	11783	Football
5	14177	Business
6	308	Politics
7	13636	Football
8	1042	Business
9	1227	Film
10	4042	Business
11	2578	Film
12	3615	Film
13	1661	Film
14	3242	Business
15	10178	Film
16	3533	Politics
17	8749	Business
18	8127	Politics
19	3745	Politics
20	12163	Football
21	10901	Technology
22	7669	Politics
23	569	Business
24	3053	Film
25	12288	Football
26	1320	Politics
27	13094	Film
28	3426	Business
29	4273	Technology
30	11010	Football
31	6441	Politics
32	7474	Politics
33	8028	Business
34	11932	Football
35	14299	Technology
36	1852	Business
37	7987	Politics
38	8934	Technology
39	3619	Technology
40	3217	Business
41	3000	Technology
42	8207	Business
43	6808	Business
44	10376	Football
45	11542	Football
46	7983	Business
47	5460	Technology
48	13994	Football
49	13084	Film
50	11525	Football
51	11092	Business
52	2920	Politics
53	4250	Technology
54	13967	Football
55	11352	Business
56	314	Business
57	9020	Politics
58	2639	Politics
59	10745	Football
60	2728	Business
61	1150	Business
62	2047	Technology
63	122	Technology
64	8744	Football
65	14626	Politics
66	3976	Football
67	14097	Politics
68	1713	Politics
69	382	Film
70	7872	Business
71	12942	Film
72	5931	Business
73	11473	Politics
74	11692	Football
75	14957	Football
76	15229	Football
77	7500	Politics
78	640	Business
79	93	Technology
80	6406	Film
81	2058	Film
82	14935	Football
83	14359	Technology
84	13023	Film
85	9387	Film
86	13259	Football
87	11503	Politics
88	1362	Technology
89	1139	Business
90	11391	Politics
91	9026	Technology
92	4803	Football
93	2331	Politics
94	12102	Film
95	1264	Politics
96	15248	Football
97	8880	Technology
98	7965	Business
99	7700	Politics
100	6167	Technology
101	4373	Technology
102	15188	Business
103	13418	Football
104	6760	Business
105	10684	Business
106	8333	Business
107	13277	Football
108	3876	Politics
109	5611	Film
110	2713	Business
111	3873	Football
112	3900	Football
113	10522	Football
114	1903	Film
115	12109	Film
116	9210	Film
117	10173	Politics
118	10817	Business
119	12071	Football
120	8170	Business
121	6309	Football
122	14598	Business
123	7696	Politics
124	9036	Technology
125	4582	Football
126	3790	Technology
127	3553	Business
128	12726	Film
129	2549	Technology
130	2615	Politics
131	440	Business
132	4544	Football
133	6771	Business
134	12906	Business
135	10517	Football
136	7624	Business
137	3027	Technology
138	7495	Politics
139	10619	Football
140	11183	Politics
141	10072	Film
142	5786	Film
143	6640	Business
144	15044	Football
145	3393	Business
146	9239	Film
147	12189	Technology
148	9207	Business
149	6731	Business
150	7188	Technology
151	13536	Football
152	6602	Business
153	591	Business
154	274	Football
155	2688	Politics
156	9883	Business
157	8564	Politics
158	12774	Film
159	6912	Business
160	11214	Politics
161	11269	Politics
162	14057	Business
163	14754	Film
164	13151	Technology
165	7102	Technology
166	2200	Film
167	8344	Politics
168	4311	Technology
169	6258	Football
170	3392	Business
171	3657	Film
172	10958	Technology
173	8732	Politics
174	7260	Football
175	7890	Politics
176	14973	Football
177	11573	Football
178	4212	Technology
179	15131	Politics
180	8068	Business
181	3409	Business
182	13416	Football
183	190	Football
184	14296	Business
185	10274	Football
186	250	Football
187	14613	Politics
188	9130	Politics
189	9427	Politics
190	5367	Technology
191	1862	Film
192	2595	Film
193	13604	Film
194	13779	Football
195	11973	Football
196	5226	Technology
197	9825	Politics
198	3141	Business
199	2961	Politics
200	415	Film
201	1080	Business
202	4639	Football
203	14083	Politics
204	10908	Film
205	7991	Politics
206	5396	Technology
207	535	Business
208	2152	Film
209	5818	Film
210	12064	Football
211	3698	Technology
212	3373	Politics
213	5754	Film
214	4520	Football
215	8928	Politics
216	6337	Football
217	15216	Football
218	2660	Business
219	14293	Politics
220	11136	Politics
221	7306	Business
222	8970	Technology
223	12245	Football
224	3836	Football
225	4637	Football
226	6815	Business
227	10189	Business
228	2867	Business
229	8845	Politics
230	14790	Business
231	3783	Technology
232	13491	Football
233	2196	Film
234	7564	Politics
235	10048	Film
236	13713	Football
237	6471	Technology
238	4812	Football
239	6722	Business
240	7593	Politics
241	2811	Politics
242	12750	Film
243	14221	Politics
244	1925	Film
245	923	Business
246	9985	Politics
247	10878	Business
248	9635	Film
249	7095	Technology
250	9298	Film
251	8306	Politics
252	15071	Football
253	364	Technology
254	4710	Football
255	7754	Politics
256	7162	Film
257	6313	Football
258	11687	Football
259	3519	Politics
260	6810	Business
261	3610	Technology
262	12112	Film
263	5153	Football
264	13966	Football
265	6853	Technology
266	12231	Film
267	8055	Business
268	6063	Football
269	10676	Business
270	2463	Politics
271	917	Business
272	11552	Football
273	12899	Film
274	9329	Film
275	8878	Technology
276	13289	Football
277	8839	Politics
278	1966	Film
279	9441	Film
280	3152	Business
281	6146	Technology
282	15136	Film
283	2945	Politics
284	9700	Film
285	9510	Film
286	5184	Technology
287	12841	Politics
288	12664	Business
289	14904	Politics
290	12644	Film
291	12464	Football
292	8009	Business
293	2010	Film
294	1464	Technology
295	13614	Football
296	7649	Politics
297	15279	Technology
298	3320	Politics
299	3957	Business
300	444	Business
301	13351	Politics
302	1154	Business
303	10080	Film
304	13085	Film
305	6509	Film
306	6370	Film
307	12500	Football
308	9348	Politics
309	11453	Politics
310	12377	Football
311	11498	Politics
312	4020	Football
313	8502	Politics
314	1484	Technology
315	12490	Football
316	12395	Football
317	1103	Business
318	9740	Film
319	4688	Football
320	474	Business
321	8973	Technology
322	9998	Politics
323	6160	Business
324	950	Business
325	11866	Football
326	8339	Business
327	5175	Football
328	7368	Business
329	11293	Politics
330	12174	Film
331	2656	Politics
332	12252	Technology
333	14995	Football
334	2733	Politics
335	2122	Film
336	2752	Business
337	13140	Technology
338	9106	Politics
339	6593	Business
340	6797	Business
341	13860	Technology
342	13230	Football
343	3954	Football
344	7727	Politics
345	12673	Film
346	13579	Football
347	13227	Football
348	9505	Film
349	14584	Politics
350	6510	Film
351	3769	Politics
352	10938	Film
353	9101	Politics
354	7595	Politics
355	3743	Business
356	7678	Politics
357	9517	Film
358	507	Politics
359	8420	Politics
360	1562	Film
361	5112	Football
362	4983	Football
363	2941	Politics
364	12325	Technology
365	12294	Football
366	4729	Football
367	12463	Football
368	13573	Football
369	2652	Politics
370	150	Business
371	3565	Politics
372	14501	Business
373	4641	Football
374	13380	Football
375	3529	Politics
376	9784	Film
377	13074	Film
378	9814	Business
379	12076	Football
380	6770	Politics
381	1361	Technology
382	12315	Football
383	340	Politics
384	8619	Business
385	675	Technology
386	11255	Politics
387	5746	Film
388	12695	Film
389	14037	Football
390	1064	Business
391	13211	Football
392	3771	Technology
393	5876	Film
394	1412	Technology
395	12830	Film
396	9728	Film
397	11404	Politics
398	2427	Politics
399	8641	Business
400	10258	Football
401	4332	Technology
