	ID	Predicted Category
0	2	Politics
1	10	Technology
2	25	Football
3	28	Football
4	29	Business
5	33	Business
6	34	Football
7	37	Business
8	39	Football
9	40	Business
10	44	Football
11	56	Football
12	66	Politics
13	75	Business
14	77	Football
15	85	Business
16	89	Football
17	92	Politics
18	107	Technology
19	112	Technology
20	115	Technology
21	139	Football
22	140	Football
23	152	Football
24	156	Football
25	162	Technology
26	167	Football
27	170	Football
28	171	Technology
29	173	Politics
30	182	Technology
31	186	Football
32	193	Technology
33	196	Football
34	210	Business
35	218	Football
36	224	Politics
37	227	Technology
38	230	Politics
39	232	Football
40	247	Football
41	262	Football
42	273	Football
43	276	Politics
44	279	Football
45	284	Football
46	286	Football
47	287	Business
48	305	Business
49	316	Football
50	337	Politics
51	342	Football
52	349	Football
53	357	Film
54	363	Football
55	367	Technology
56	368	Film
57	374	Technology
58	377	Film
59	385	Film
60	395	Film
61	401	Film
62	417	Film
63	422	Film
64	427	Film
65	433	Football
66	438	Business
67	469	Politics
68	470	Football
69	473	Politics
70	481	Technology
71	486	Football
72	490	Football
73	495	Politics
74	510	Politics
75	519	Politics
76	523	Politics
77	533	Football
78	536	Football
79	538	Politics
80	545	Football
81	550	Football
82	551	Business
83	557	Football
84	558	Business
85	561	Football
86	565	Football
87	575	Football
88	583	Football
89	589	Football
90	592	Business
91	593	Football
92	594	Business
93	598	Business
94	599	Politics
95	607	Football
96	614	Film
97	626	Business
98	627	Politics
99	634	Football
100	636	Business
101	639	Football
102	641	Football
103	643	Football
104	650	Business
105	655	Business
106	662	Football
107	666	Football
108	667	Business
109	673	Technology
110	678	Technology
111	693	Football
112	694	Technology
113	696	Technology
114	697	Football
115	699	Business
116	704	Football
117	706	Film
118	707	Technology
119	709	Football
120	717	Football
121	724	Business
122	728	Football
123	732	Football
124	733	Business
125	741	Business
126	746	Football
127	747	Business
128	749	Business
129	750	Politics
130	754	Business
131	756	Business
132	768	Politics
133	769	Business
134	774	Business
135	775	Business
136	776	Politics
137	789	Football
138	802	Politics
139	804	Politics
140	809	Football
141	816	Football
142	825	Technology
143	827	Football
144	830	Football
145	837	Football
146	838	Technology
147	839	Football
148	849	Football
149	854	Technology
150	865	Football
151	871	Politics
152	873	Politics
153	884	Politics
154	886	Politics
155	893	Football
156	896	Business
157	898	Football
158	907	Politics
159	909	Politics
160	910	Business
161	911	Football
162	914	Politics
163	916	Politics
164	922	Football
165	925	Football
166	926	Football
167	935	Football
168	936	Football
169	946	Politics
170	952	Football
171	954	Football
172	959	Football
173	960	Football
174	961	Business
175	964	Business
176	965	Football
177	968	Business
178	971	Business
179	972	Business
180	982	Football
181	983	Business
182	985	Business
183	987	Business
184	990	Football
185	994	Business
186	1010	Politics
187	1014	Business
188	1024	Football
189	1026	Football
190	1032	Football
191	1047	Politics
192	1050	Football
193	1059	Football
194	1061	Football
195	1062	Technology
196	1069	Business
197	1072	Business
198	1074	Football
199	1081	Business
200	1088	Football
201	1090	Football
202	1093	Football
203	1097	Football
204	1100	Business
205	1102	Business
206	1105	Football
207	1142	Football
208	1143	Film
209	1155	Business
210	1162	Football
211	1163	Football
212	1169	Football
213	1174	Football
214	1177	Football
215	1178	Football
216	1184	Business
217	1185	Football
218	1192	Football
219	1208	Politics
220	1209	Football
221	1215	Business
222	1217	Politics
223	1219	Business
224	1221	Business
225	1223	Football
226	1225	Politics
227	1229	Football
228	1230	Politics
229	1239	Politics
230	1251	Politics
231	1265	Politics
232	1269	Business
233	1282	Football
234	1287	Football
235	1295	Football
236	1301	Technology
237	1302	Technology
238	1306	Football
239	1310	Technology
240	1314	Football
241	1322	Football
242	1328	Football
243	1331	Football
244	1332	Football
245	1337	Football
246	1345	Football
247	1349	Politics
248	1353	Politics
249	1356	Politics
250	1359	Technology
251	1368	Technology
252	1371	Technology
253	1377	Football
254	1381	Technology
255	1387	Technology
256	1389	Technology
257	1404	Technology
258	1411	Technology
259	1413	Technology
260	1425	Technology
261	1428	Business
262	1429	Football
263	1430	Football
264	1433	Technology
265	1437	Technology
266	1438	Technology
267	1446	Technology
268	1447	Technology
269	1454	Football
270	1461	Football
271	1462	Business
272	1463	Football
273	1466	Football
274	1469	Technology
275	1475	Football
276	1485	Technology
277	1488	Business
278	1493	Football
279	1496	Football
280	1497	Film
281	1500	Technology
282	1502	Technology
283	1508	Technology
284	1509	Technology
285	1518	Film
286	1522	Film
287	1524	Football
288	1527	Technology
289	1529	Film
290	1531	Film
291	1533	Film
292	1537	Film
293	1548	Football
294	1555	Film
295	1556	Film
296	1558	Football
297	1568	Film
298	1570	Football
299	1571	Football
300	1572	Football
301	1583	Film
302	1589	Film
303	1597	Football
304	1602	Football
305	1606	Film
306	1607	Football
307	1613	Film
308	1624	Film
309	1637	Film
310	1638	Film
311	1639	Film
312	1652	Film
313	1654	Football
314	1663	Politics
315	1675	Football
316	1695	Politics
317	1703	Politics
318	1704	Football
319	1705	Football
320	1709	Football
321	1714	Football
322	1715	Football
323	1725	Football
324	1726	Football
325	1741	Football
326	1749	Business
327	1755	Football
328	1760	Football
329	1761	Football
330	1768	Football
331	1772	Football
332	1775	Football
333	1778	Football
334	1779	Business
335	1781	Business
336	1784	Film
337	1789	Business
338	1797	Football
339	1803	Football
340	1805	Football
341	1812	Film
342	1819	Business
343	1833	Film
344	1843	Politics
345	1844	Politics
346	1845	Football
347	1860	Film
348	1864	Film
349	1873	Film
350	1878	Film
351	1879	Film
352	1884	Film
353	1885	Film
354	1889	Football
355	1895	Film
356	1907	Film
357	1908	Film
358	1910	Film
359	1915	Film
360	1917	Film
361	1920	Football
362	1921	Football
363	1928	Film
364	1951	Film
365	1962	Football
366	1963	Politics
367	1964	Film
368	1965	Technology
369	1967	Film
370	1968	Football
371	1972	Film
372	1981	Film
373	1985	Football
374	1987	Football
375	1988	Football
376	1990	Film
377	1991	Film
378	1992	Football
379	1996	Film
380	2004	Film
381	2007	Film
382	2008	Football
383	2028	Film
384	2037	Film
385	2063	Football
386	2076	Film
387	2079	Football
388	2081	Football
389	2083	Technology
390	2086	Football
391	2100	Football
392	2101	Football
393	2103	Politics
394	2104	Football
395	2116	Film
396	2117	Football
397	2118	Politics
398	2119	Film
399	2132	Football
400	2134	Film
401	2136	Film
402	2138	Film
403	2151	Politics
404	2154	Film
405	2158	Football
406	2164	Film
407	2168	Politics
408	2172	Film
409	2181	Football
410	2191	Football
411	2192	Film
412	2193	Football
413	2198	Film
414	2199	Football
415	2205	Football
416	2207	Film
417	2214	Politics
418	2224	Film
419	2228	Football
420	2229	Film
421	2230	Film
422	2232	Football
423	2244	Politics
424	2246	Football
425	2259	Politics
426	2266	Politics
427	2275	Politics
428	2277	Politics
429	2278	Politics
430	2279	Politics
431	2288	Politics
432	2300	Politics
433	2301	Politics
434	2307	Politics
435	2315	Politics
436	2318	Politics
437	2320	Politics
438	2323	Politics
439	2324	Politics
440	2325	Politics
441	2340	Politics
442	2341	Politics
443	2348	Football
444	2350	Politics
445	2353	Politics
446	2362	Politics
447	2375	Politics
448	2377	Politics
449	2380	Football
